Name,Role,Company,Company Description,Stage,Region,LinkedIn URL,X/Twitter URL,Why Relevant
Emir Atli,Co-founder & CRO,HockeyStack,AI revenue agent / GTM analytics platform,Series B ($50M raised),US (SF),https://www.linkedin.com/in/emircatli/,https://x.com/emiratli_,"Reference profile. 5x/week LinkedIn posting, ~3M monthly impressions, hosts AI for GTM podcast + The Flow media property"
Adam Robinson,CEO,RB2B & Retention.com,B2B visitor identity / person-level deanonymization,Bootstrapped (~$25M ARR),US (Austin),https://www.linkedin.com/in/retentionadam/,https://x.com/RetentionAdam,"Radical financial transparency on LinkedIn. Posts P&L, revenue, churn. Primary pipeline channel is his LinkedIn"
Gal Aga,Co-founder & CEO,Aligned,Digital sales room / buyer enablement,Series A,US/Israel,https://www.linkedin.com/in/galaga/,,Drives ~3M LinkedIn views/month personally. Tactical sales leadership posts with win-rate data
Marty Kausas,Co-founder & CEO,Pylon,Modern B2B customer support platform,"Series B (a16z, BCV)",US (SF),https://www.linkedin.com/in/martykausas/,https://x.com/marty_kausas,Batches 5hrs every Sunday writing LinkedIn posts for all 3 co-founders. Anti-sale founder-led content
Paul Klein IV,Founder & CEO,Browserbase,Headless browser infra for AI agents,Series B (~$300M val),US (SF),https://www.linkedin.com/in/paul-klein-iv/,https://x.com/pk_iv,"Direct AI infra peer. X-native founder content. Customers: Ramp, Perplexity, Vercel, Lovable"
Flo Crivello,Founder & CEO,Lindy,AI agents / AI employees platform,Series A,US (SF),https://www.linkedin.com/in/florentcrivello/,https://x.com/Altimor,Long-form essays + product journey transparency. Previously founded Teamflow
Sahil Lavingia,Founder & CEO,Gumroad,Creator commerce platform,Exit-stage bootstrapped (~$10M ARR),US (NY),https://www.linkedin.com/in/sahillavingia/,https://x.com/shl,"386K+ X followers. Minimalist essays, radical financial disclosure. Author of The Minimalist Entrepreneur"
Amjad Masad,Co-founder & CEO,Replit,AI coding / agent development platform,Unicorn (Series B+),US (SF),https://www.linkedin.com/in/amjadmasad/,https://x.com/amasad,"450K X followers. Product launches, dev philosophy, Jordan-to-SF founder arc"
Andrew Gazdecki,Founder & CEO,Acquire.com,Startup M&A marketplace,Scaled ($500M+ deals facilitated),US,https://www.linkedin.com/in/agazdecki/,https://x.com/agazdecki,"308K X followers. Humor-first build-in-public, meme-heavy founder voice"
Amanda Goetz,Founder / Creator,Life's A Game,Creator economy / fractional CMO,Solo creator (2x exited founder),US (NY),https://www.linkedin.com/in/amandagoetz/,https://x.com/AmandaMGoetz,"~150K multi-platform audience. Blends founder vulnerability, creator frameworks, anti-hustle"
Greg Isenberg,Co-founder & CEO,Late Checkout,Holding company + $50M venture fund,Holdco,US (NY),https://www.linkedin.com/in/gregisenberg/,https://x.com/gregisenberg,"158K+ newsletter subs, The Startup Ideas Podcast. Media-house mentality"
Tommy Clark,Founder,Compound Content Studio / Bluecast,B2B LinkedIn agency + LinkedIn writing SaaS,Bootstrapped (~$1M+ ARR),US,https://www.linkedin.com/in/tclarkmedia/,https://x.com/tclarkmedia,Meta-operator: teaches the Emir Atli playbook. Social Files newsletter ~17K
Guillaume Moubeche,Founder & CEO,lempire (lemlist),Outbound sales / cold email SaaS,Bootstrapped (~$20M ARR),Europe (France),https://fr.linkedin.com/in/guillaume-moubeche-a026541b2,https://x.com/GuillaumeMbh,Template for team-wide founder-led LinkedIn. Refused $30M acquisition publicly
Pieter Levels,Solo Founder,Nomad List / Photo AI / Remote OK,Portfolio of indie SaaS (~$3.1M ARR combined),Bootstrapped,Europe (NL),,https://x.com/levelsio,420K+ X followers. 10-year build-in-public arc. Public revenue page since 2018
Marc Lou,Solo Founder,ShipFast / ByeDispute,Next.js SaaS boilerplate + portfolio,Bootstrapped ($80K+/mo),Europe (France/Bali),https://www.linkedin.com/in/marclouvion/,https://x.com/marc_louvion,"~95-100K X followers. Viral parody launches, raw MRR screenshots, coding course sales"
Arvid Kahl,Founder / Podcaster,Bootstrapped Founder,Podcast + author (exited FeedbackPanda),Exit-stage,Europe (Germany),https://www.linkedin.com/in/arvidkahl/,https://x.com/arvidkahl,Audience-first business builder. Author of The Embedded Entrepreneur
Dagobert Renouf,Founder,Logology,Bootstrapped logo design SaaS,Bootstrapped,Europe (France),https://www.linkedin.com/in/dagoberto/,https://x.com/dagorenouf,100K+ X followers from daily founder memes + consistency over hacks
Finn Thormeier,Founder,Project 33,Founder-led marketing agency,Bootstrapped,Europe (Germany),https://www.linkedin.com/in/finnthormeier/,,Hosts Founder-Led Marketing Show podcast. Built Gal Aga to 3M monthly impressions
Tyler Denk,Co-founder & CEO,beehiiv,Newsletter infrastructure platform,Series A,US (NY),https://www.linkedin.com/in/tyler-denk-810a6288/,https://x.com/denkTyler,Big Desk Energy newsletter (100K+ subs). In-the-trenches operator writing
Christian Owens,Founder (former CEO),Paddle,Merchant-of-record for SaaS,Growth-stage,Europe (UK),https://www.linkedin.com/in/christianowens/,,"Founded Paddle at 18. Scaling lessons, anti-traditional education advocacy"
Jon Yongfook,Solo Founder,Bannerbear,Automated image/video generation API,Bootstrapped (~$50K+ MRR),Europe/Asia (SG),,https://x.com/yongfook,Closest creative-tech adjacency to each::labs in the indie cohort. MRR milestones + AI workflow posts
Alper Yurder,Co-founder & CEO,Flowla,B2B sales enablement / digital sales rooms,Seed/Series A,Turkey/UK,https://www.linkedin.com/in/alperyurder/,,Turkish founder building globally. Hosts Sales Therapy podcast (interviewed Emir Atli)
Serkan Unsal,Founder,startups.watch,Turkey/MENA startup market intelligence,Seed (Inveo Ventures),Turkey,https://www.linkedin.com/in/serkanunsal/,,Data-driven LinkedIn posts on Turkish startup ecosystem. 10-year market intelligence arc
Avinash Raghava,Founder,AIBoomi / SaaSBoomi,India's largest SaaS founder community,Community (~800 companies),India,https://in.linkedin.com/in/avinashraghava,,Weekly founder spotlight series. India's ecosystem-builder voice on LinkedIn
Dhruv Arora,Founder & CEO,Syfe,Digital wealth management,Series B+,Singapore,https://sg.linkedin.com/in/dhruvarorame,,Essays on fintech trust + transparency. Recent Fortune feature
Nikhil Kamath,Co-founder,Zerodha / True Beacon,India's largest retail broker + asset mgmt,Scaled (bootstrapped),India,https://in.linkedin.com/in/nikhilkamathcio,https://x.com/nikhilkamathcio,Hosts WTF is / People by WTF podcast. India's #1 founder-focused podcast
Freddy Vega,Co-founder & CEO,Platzi,LATAM ed-tech (first LATAM company in YC 2015),Series B ($62M),LATAM (Colombia),https://www.linkedin.com/in/freddier/,https://x.com/freddier,Spanish-language founder content pioneer in LATAM. Transformed lives narrative
Pedro Franceschi,Co-founder & CEO,Brex,Corporate cards / fintech,Scaled ($319M ARR),US (originally Brazil),https://www.linkedin.com/in/pedro-franceschi-bbb9a329/,https://x.com/pedroh96,"Brazilian founder, US-based. Engineering culture + fintech strategy posts"
Filip Victor,Co-founder & CEO,MetaMap,ID verification infrastructure,Series B,LATAM/MENA,https://www.linkedin.com/in/filipvictor/,,LATAM-to-global founder voice. Ecosystem commentary + product journey
